MRI_session,AP_GSR,PA_GSR,AP_NoGSR,PA_NoGSR,SCI_GSR,SCI_NoGSR
22993,-5.042876113,-5.201929235,-4.311956242,-5.408902004,-5.122402674,-4.860429123
23000,-7.035592632,-4.967403192,-7.454277529,-4.808102519,-6.001497912,-6.131190024
23030,-4.113213933,-3.641427775,-4.609952886,-2.652016451,-3.877320854,-3.630984669
23034,-8.581144663,-3.45881545,-6.717091573,-2.512922775,-6.019980057,-4.615007174
23038,-7.62025258,-5.328770235,-7.041652062,-2.775792946,-6.474511408,-4.908722504
23047,-5.926767888,-7.835607703,-5.811675318,-7.241022101,-6.881187796,-6.526348709
23071,-6.453118994,-4.612334818,-6.126775248,-3.168261702,-5.532726906,-4.647518475
23072,-3.980725411,-6.641795618,-4.59740174,-6.166486113,-5.311260514,-5.381943926
23094,-4.763389499,-7.932646609,-3.973149149,-8.009278118,-6.348018054,-5.991213633
23096,-3.998130901,-5.07352997,-3.92715977,-5.396639225,-4.535830435,-4.661899498
23100,-7.449101639,-4.078864496,-6.282037669,-4.395232662,-5.763983067,-5.338635166
23112,-3.701870604,-5.206843438,-2.767114579,-6.208387419,-4.454357021,-4.487750999
23138,-5.681024301,-4.634176643,-4.81139385,-3.374586502,-5.157600472,-4.092990176
23152,-3.204724904,-1.113862447,-3.474043052,-1.040345219,-2.159293675,-2.257194135
23160,-10.46158679,-5.270226652,-10.15035675,-5.430169625,-7.865906722,-7.790263188
23166,-4.208648463,-5.267123803,-4.90624199,-6.298330889,-4.737886133,-5.60228644
23179,-7.23058757,-4.131199493,-7.140494274,-2.648292119,-5.680893532,-4.894393197
23186,-2.496593071,-4.738279058,-1.028113294,-3.483601583,-3.617436064,-2.255857438
23198,-7.001926276,-6.529887664,-6.955116428,-5.946665496,-6.76590697,-6.450890962
23205,-5.92807423,-6.6788717,-3.737643882,-6.592766272,-6.303472965,-5.165205077
23210,-4.143060054,-4.957919874,-3.850621056,-5.800977382,-4.550489964,-4.825799219
23217,-5.240655121,-6.145801563,-5.061424779,-8.415445475,-5.693228342,-6.738435127
23220,-6.230397203,-6.11465005,-6.086011969,-6.756886744,-6.172523627,-6.421449357
23236,-6.299891239,-6.342103999,-9.829392409,-8.144731349,-6.320997619,-8.987061879
23237,-4.820063111,-4.060170128,-2.932234866,-1.243814909,-4.44011662,-2.088024888
23241,-4.718964089,-8.230357996,-2.92858925,-1.379887376,-6.474661042,-2.154238313
23253,-3.842166975,-5.036090227,-2.9387779,-5.11874049,-4.439128601,-4.028759195
23268,-2.417448784,-5.695762147,-0.092132028,-6.015993328,-4.056605466,-3.054062678
23277,-3.847823873,-8.957451928,-1.121577617,-8.287736513,-6.4026379,-4.704657065
23279,-7.633361174,-6.980208029,-8.092129339,-5.515537927,-7.306784602,-6.803833633
23286,-6.831516055,-2.332652931,-3.976492527,-1.124552281,-4.582084493,-2.550522404
23287,-4.662734739,-3.355826551,-2.818992328,-1.098609905,-4.009280645,-1.958801116
23290,-6.226462003,-8.937723856,-7.803132524,-5.010197087,-7.582092929,-6.406664806
23293,-6.830445369,-5.042477862,-6.268680313,-3.707639067,-5.936461615,-4.98815969
23294,-2.514732517,-4.327813425,-3.996794083,-1.978146734,-3.421272971,-2.987470408
23303,-5.192343117,-4.011407483,-7.581892352,-2.076735896,-4.6018753,-4.829314124
23306,-0.507425977,-6.922894677,-1.519754804,-7.765007768,-3.715160327,-4.642381286
23310,-3.397909612,-8.596514216,-2.606240776,-8.825038928,-5.997211914,-5.715639852
23315,-5.873724046,-3.363840433,-5.327757482,-3.710286742,-4.61878224,-4.519022112
23321,-4.350102948,-4.807282561,-3.970072629,-3.659631203,-4.578692754,-3.814851916
23327,-5.162787287,-6.485556853,-4.551399216,-6.753460849,-5.82417207,-5.652430033
23329,-4.09065915,-7.505811777,-3.747162415,-6.320981055,-5.798235464,-5.034071735
23349,-6.415468457,-6.753005448,-5.064112195,-5.319627927,-6.584236952,-5.191870061
23355,-7.85105836,-4.316368836,-6.787393299,-2.244748152,-6.083713598,-4.516070725
23358,-8.540166678,-5.623700643,-7.946766105,-5.787241487,-7.08193366,-6.867003796
23359,-8.653082038,-8.121505201,-9.84703891,-8.441388826,-8.38729362,-9.144213868
23379,-3.203373711,-6.057369851,-2.582942183,-7.111620694,-4.630371781,-4.847281439
23384,-2.286176232,-6.143714404,-3.031906733,-5.161374592,-4.214945318,-4.096640663
23386,-8.331043283,-4.590363253,-8.085660072,-4.292146397,-6.460703268,-6.188903235
23391,-3.776294593,-6.884618886,-2.684034499,-6.134262584,-5.33045674,-4.409148542
23398,-7.862739841,-4.893872912,-9.838834929,-7.834441322,-6.378306377,-8.836638125
23410,-5.125632505,-3.490243662,-3.013733357,-0.806745093,-4.307938084,-1.910239225
23415,-4.677846153,-7.043355678,-3.784400706,-5.41400608,-5.860600915,-4.599203393
23453,-6.174210082,-5.668340395,-6.706881868,-5.879720723,-5.921275238,-6.293301296
23455,-4.286008133,-4.561262326,-3.892507662,-3.945837378,-4.423635229,-3.91917252
23475,-5.444929251,-7.259764119,-4.663465492,-5.655247083,-6.352346685,-5.159356287
23479,-9.27240001,-5.249524771,-9.665187974,-9.319128593,-7.260962391,-9.492158284
23484,-8.238150596,-5.146510396,-8.691637672,-5.942220845,-6.692330496,-7.316929258
23493,-4.96282845,-4.591828576,-3.671718919,-4.004370294,-4.777328513,-3.838044607
23496,-7.387135393,-8.003040126,-6.346212366,-11.44838596,-7.69508776,-8.897299161
23500,-6.710372865,-6.720452594,-6.340584888,-7.200184151,-6.715412729,-6.77038452
23502,-4.013933614,-3.085153629,-3.822769234,0.684917582,-3.549543622,-1.568925826
23511,-5.601495158,-2.312620643,-5.443736894,-0.649984226,-3.957057901,-3.04686056
23521,-5.23477148,-3.485242528,-4.606749383,-4.339778716,-4.360007004,-4.473264049
23527,-3.379337202,-3.734926472,-1.418822864,-4.831019729,-3.557131837,-3.124921296
23529,-7.561504464,-1.721788054,-6.142394761,-1.380522645,-4.641646259,-3.761458703
23537,-4.327681222,-5.707512249,-4.193033324,-5.194604902,-5.017596735,-4.693819113
23542,-3.297183835,-7.574286691,-2.449095518,-7.022371696,-5.435735263,-4.735733607
23543,-9.351888256,-5.109251984,-8.589107073,-5.336843646,-7.23057012,-6.96297536
23547,-5.097472972,-5.141713499,-5.286141886,-4.787151831,-5.119593235,-5.036646859
23551,-3.123926546,-5.485905578,-4.511212287,-3.42226835,-4.304916062,-3.966740318
23556,-3.093243552,-1.698922537,1.234078973,-0.866803844,-2.396083044,0.183637564
23559,-5.760590967,-5.264797455,-5.70236144,-2.636217061,-5.512694211,-4.169289251
23567,-5.963120592,-2.431753338,-6.188716723,-2.854845679,-4.197436965,-4.521781201
