seed,x,y,z
DCL,-36,-32,14
DCL,10,-76,18
DCL,46,-36,14
DCL,6,18,2
DCL,-16,22,58
DCL,24,36,-16
DCL,-54,-64,-8
DCL,-22,16,2
DCPL,-40,30,28
DCPL,-42,-8,4
DCPL,48,8,0
DCPL,-58,-2,14
DCPL,60,-6,12
DCPR,-60,-46,-4
DCPR,-44,30,34
DCPR,-42,-4,6
DCPR,48,12,-2
DCPR,-6,-14,0
DCPR,62,-10,12
DCPR,-48,50,4
DCR,8,-40,18
DCR,-38,-58,14
DCR,54,6,36
DCR,-54,8,14
DCR,54,8,2
DCR,-40,28,4
DCR,-58,28,8
DRPL,-62,-48,2
DRPL,-42,30,28
DRPL,-42,-8,4
DRPL,50,12,0
DRPL,12,58,12
DRPL,16,34,-14
DRPR,-42,-4,6
DRPR,46,12,0
DRPR,58,12,38
DRPR,28,20,-16
VRPL,24,-26,8
VRPL,-16,-26,10
VRPL,-42,32,26
VRPL,-40,-2,-2
VRPL,12,36,-18
VRPL,6,20,-18
VRPR,-42,32,28
VRPR,-6,-54,50
VRPR,-38,-2,-2
VRPR,4,48,8
VRPR,12,36,-18
VRPR,-8,34,-22
VRPR,56,-20,26
VRPR,14,44,2
VRPR,38,0,0
VRPR,52,-26,0
VRPR,-66,-14,28
VRPR,-26,14,-20
VSiL,10,-68,48
VSiL,-8,-68,50
VSiL,-54,20,6
VSiL,-44,-60,10
VSiL,-62,-40,-4
VSiL,50,-24,-2
VSiL,-8,54,30
VSiL,6,56,14
VSiL,-8,4,64
VSiL,-44,8,42
VSiL,-36,-20,-12
VSiR,-14,-68,46
VSiR,-12,-14,8
VSiR,54,-38,48
VSiR,16,-74,44
VSiR,-44,-58,10
VSiR,-54,20,4
VSsL,16,-26,12
VSsL,-36,-22,20
VSsL,-10,-18,12
VSsL,16,-76,18
VSsL,44,-38,14
VSsL,-18,18,-10
VSsL,4,16,0
VSsL,-34,4,34
VSsR,12,-74,18
VSsR,-22,-60,16
VSsR,52,-38,14
VSsR,-54,-44,16
VSsR,-34,-32,14
VSsR,18,-50,12
VSsR,44,50,2
VSsR,54,-36,34
VSsR,16,-26,12
VSsR,-14,-24,8
VSsR,10,22,30
